T/K,Pexp/kPa,Xmolar,¦Ñ/molar dm-3),Z
283.37 ,190.7 ,0.33,0.088143839,0.918277504
288.36 ,194.9 ,0.33,0.088132638,0.922378427
293.35 ,199.1 ,0.33,0.08812144,0.926344798
298.35 ,203.2 ,0.33,0.088110222,0.929694903
303.34 ,207.3 ,0.33,0.08809903,0.932969786
308.33 ,211.2 ,0.33,0.08808784,0.93525762
313.33 ,215.6 ,0.33,0.088076631,0.939626312
318.31 ,219.8 ,0.33,0.088065469,0.943063284
323.31 ,224.0 ,0.33,0.088054266,0.946340804
328.30 ,228.2 ,0.33,0.088043088,0.94955162
333.28 ,232.1 ,0.33,0.088031934,0.951469187
338.28 ,235.9 ,0.33,0.088020739,0.952874472
343.27 ,239.8 ,0.33,0.08800957,0.954668333
348.28 ,243.6 ,0.33,0.087998358,0.955967803
353.28 ,247.4 ,0.33,0.087987171,0.957261015
283.37 ,320.9 ,0.4364,0.161995715,0.840778128
288.36 ,328.8 ,0.4364,0.161975129,0.846676572
293.35 ,336.4 ,0.4364,0.161954549,0.851619958
298.35 ,343.5 ,0.4364,0.161933932,0.855129569
303.34 ,350.3 ,0.4364,0.161913362,0.85782135
308.33 ,356.2 ,0.4364,0.161892797,0.858261621
313.33 ,363.8 ,0.4364,0.161872196,0.862695523
318.31 ,371.0 ,0.4364,0.161851682,0.86611487
323.31 ,377.9 ,0.4364,0.161831092,0.868690107
328.30 ,384.8 ,0.4364,0.161810548,0.871217195
333.28 ,391.4 ,0.4364,0.16179005,0.873029352
338.28 ,398.1 ,0.4364,0.161769475,0.874960334
343.27 ,404.6 ,0.4364,0.161748947,0.876430843
348.28 ,411.3 ,0.4364,0.161728341,0.878239826
353.28 ,417.9 ,0.4364,0.161707782,0.879815248
288.36 ,586.5 ,0.7208,0.310482064,0.787889964
293.35 ,606.8 ,0.7208,0.310442614,0.801396117
298.35 ,621.9 ,0.7208,0.310403095,0.807676706
303.34 ,635.3 ,0.7208,0.310363665,0.811609996
308.33 ,649.2 ,0.7208,0.310324245,0.816048755
313.33 ,662.6 ,0.7208,0.310284756,0.819705972
318.31 ,676.3 ,0.7208,0.310245435,0.823669132
323.31 ,689.6 ,0.7208,0.310205966,0.8269839
328.30 ,702.1 ,0.7208,0.310166586,0.829281861
333.28 ,715.3 ,0.7208,0.310127295,0.832353992
338.28 ,728.2 ,0.7208,0.310087856,0.83494656
343.27 ,740.9 ,0.7208,0.310048506,0.837265483
348.28 ,753.8 ,0.7208,0.310009009,0.83969655
353.28 ,766.6 ,0.7208,0.3099696,0.841976066
288.36 ,625.8 ,0.7796,0.332190939,0.785745397
293.35 ,650.3 ,0.7796,0.33214873,0.802720124
298.35 ,667.4 ,0.7796,0.332106448,0.81012482
303.34 ,682.6 ,0.7796,0.332064261,0.815048684
308.33 ,695.9 ,0.7796,0.332022085,0.817585475
313.33 ,711.2 ,0.7796,0.331979835,0.822331924
318.31 ,725.9 ,0.7796,0.331937764,0.826302249
323.31 ,740.4 ,0.7796,0.331895536,0.829879329
328.30 ,755.0 ,0.7796,0.331853402,0.833487095
333.28 ,769.2 ,0.7796,0.331811364,0.836580722
338.28 ,783.5 ,0.7796,0.331769168,0.839645068
343.27 ,797.5 ,0.7796,0.331727066,0.842331456
348.28 ,811.3 ,0.7796,0.331684807,0.844688238
353.28 ,824.8 ,0.7796,0.331642643,0.846697581
283.37 ,443.4 ,0.7796,0.213519573,0.881400337
288.36 ,454.3 ,0.7796,0.21349244,0.88755302
293.35 ,464.5 ,0.7796,0.213465313,0.892157225
298.35 ,474.6 ,0.7796,0.213438139,0.89639361
303.34 ,484.1 ,0.7796,0.213411026,0.899409833
308.33 ,492.7 ,0.7796,0.213383921,0.900687582
313.33 ,503.1 ,0.7796,0.213356767,0.905138425
318.31 ,512.6 ,0.7796,0.21332973,0.907916737
323.31 ,522.5 ,0.7796,0.21330259,0.911255398
328.30 ,532.5 ,0.7796,0.213275512,0.914696089
333.28 ,541.4 ,0.7796,0.213248495,0.916203846
338.28 ,551.0 ,0.7796,0.213221376,0.918784418
343.27 ,560.4 ,0.7796,0.213194318,0.920991742
348.28 ,569.5 ,0.7796,0.213167159,0.922601128
353.28 ,578.4 ,0.7796,0.213140061,0.923875038
298.34 ,835.2 ,0.8172,0.432386358,0.778710628
303.33 ,872.1 ,0.8172,0.432331433,0.799840139
308.32 ,896.3 ,0.8172,0.432276522,0.808833512
313.33 ,918.9 ,0.8172,0.432221404,0.816073149
318.31 ,938.2 ,0.8172,0.432166631,0.82028166
323.31 ,952.1 ,0.8172,0.432111651,0.819665275
328.30 ,978.6 ,0.8172,0.432056795,0.829779257
333.28 ,997.8 ,0.8172,0.432002064,0.833522853
338.27 ,1018.2 ,0.8172,0.431947236,0.838123457
343.27 ,1041.0 ,0.8172,0.431892312,0.844517186
348.28 ,1057.4 ,0.8172,0.431837293,0.845589753
353.28 ,1078.1 ,0.8172,0.431782397,0.850049365
