T,P,RHO,Pcal,DevP,B,C
313.15,649.7,0.288872350395546,649.707366248774,0.00113379233097744,-0.475203864152954,0.0133032351556342
318.15,665.2,0.288821305663005,664.412481554418,-0.118388220923316,-0.454182947519772,0.0100308744630673
323.15,679.7,0.288770260930464,678.931383380856,-0.113081744761502,-0.434729837415257,0.00725328712056255
303.15,497.8,0.223575928529207,498.238394758583,0.0880664440704078,-0.523006088973078,0.0216845413062603
308.15,510,0.223535092743175,509.442672985881,-0.10927980669003,-0.498035333503384,0.0171546530597421
313.15,521,0.223494256957142,520.483146827366,-0.0992040638452758,-0.475203864152954,0.0133032351556342
318.15,531.7,0.223453421171109,531.388088942682,-0.0586629786192022,-0.454182947519772,0.0100308744630673
323.15,542.3,0.223412585385076,542.177198500707,-0.0226445692962123,-0.434729837415257,0.00725328712056255
293.15,371.6,0.169182661533608,372.191825648609,0.159264168086327,-0.581357011350033,0.0332712769176919
298.15,380.5,0.169157139167338,380.597633940222,0.0256593798217116,-0.550569429114146,0.0270103801878919
303.15,388.9,0.169126512327813,388.839509298317,-0.0155543074525204,-0.523006088973078,0.0216845413062603
308.15,396.9,0.169095885488289,396.961256320972,0.0154336913509,-0.498035333503384,0.0171546530597421
313.15,404.9,0.169065258648764,404.986491485565,0.0213611967313141,-0.475203864152954,0.0133032351556342
318.15,412.6,0.16903463180924,412.931673536508,0.0803862182521409,-0.454182947519772,0.0100308744630673
323.15,420.4,0.169004004969715,420.808317228349,0.0971258868574639,-0.434729837415257,0.00725328712056255
283.15,275,0.12765266713832,275.57678467882,0.209739883207104,-0.656499286530452,0.0492897043462491
288.15,281.6,0.12762714477205,281.919414983963,0.113428616463987,-0.6162534452178,0.0406322909027145
293.15,287.8,0.127606726879033,288.116945418653,0.110126969650126,-0.581357011350033,0.0332712769176919
298.15,294.1,0.127581204512763,294.187119860605,0.0296225299575796,-0.550569429114146,0.0270103801878919
303.15,300.3,0.127560786619746,300.178926061788,-0.0403176617421133,-0.523006088973078,0.0216845413062603
308.15,306,0.127535264253476,306.089688470658,0.0293099577314899,-0.498035333503384,0.0171546530597421
313.15,311.7,0.12751484636046,311.955570378175,0.081992421615347,-0.475203864152954,0.0133032351556342
318.15,317.4,0.127489323994189,317.762942332356,0.114348560918768,-0.454182947519772,0.0100308744630673
323.15,323.1,0.127468906101173,323.542091641215,0.136828115510722,-0.434729837415257,0.00725328712056255
278.15,208,0.0963724550372473,207.879364713229,-0.057997734024713,-0.703832793206842,0.0594774640567976
283.15,212.8,0.096352037144231,212.587594834854,-0.0998144573054956,-0.656499286530452,0.0492897043462491
288.15,217.5,0.0963367237244687,217.185762874439,-0.144476839338571,-0.6162534452178,0.0406322909027145
293.15,222,0.0963214103047064,221.694524893478,-0.137601399334085,-0.581357011350033,0.0332712769176919
298.15,226.4,0.0963009924116901,226.124686421751,-0.121604937389089,-0.550569429114146,0.0270103801878919
303.15,230.6,0.0962856789919278,230.51436794875,-0.0371344541414082,-0.523006088973078,0.0216845413062603
308.15,234.6,0.0962703655721655,234.863614753456,0.112367755096508,-0.498035333503384,0.0171546530597421
313.15,239,0.0962499476791492,239.168138728864,0.0703509325789699,-0.475203864152954,0.0133032351556342
318.15,243.2,0.0962346342593869,243.457305001689,0.105799753983972,-0.454182947519772,0.0100308744630673
323.15,247.4,0.0962142163663705,247.710547676071,0.125524525493669,-0.434729837415257,0.00725328712056255
353.15,1548.1,0.690431052348415,1545.2781672963,-0.182277159337194,-0.342711834570332,-0.00236965206856791
358.15,1586.3,0.690303440517063,1583.4388451274,-0.180366568278432,-0.330528270001339,-0.00319321174151803
363.15,1623.9,0.690170724212456,1621.21033935345,-0.165629696813368,-0.319016600323814,-0.00387254875064639
368.15,1661,0.69003800790785,1658.66259177398,-0.140722951596614,-0.308097016372354,-0.0044281285237115
373.15,1697.7,0.689905291603244,1695.86417382593,-0.108136076696413,-0.297690768153996,-0.00487754761711959
378.15,1734.2,0.689777679771891,1732.89929993937,-0.0750028866700715,-0.287720189464836,-0.00523595000412507
383.15,1770.5,0.689644963467285,1769.82929589006,-0.0378821863847947,-0.278108903327802,-0.00551637992933245
388.15,1806.5,0.689512247162679,1806.74816639847,0.0137374148060385,-0.268782123239807,-0.00573008152070409
393.15,1842.4,0.689374426384818,1843.73395399062,0.0724030607153892,-0.259666992344796,-0.00588675362396216
338.15,1173.7,0.521085047670676,1172.27976382936,-0.121005041377037,-0.384117305054709,0.00122503494330431
343.15,1202,0.520988062678848,1200.25651962631,-0.145048284000858,-0.369421328661191,-0.000190615944372026
348.15,1229.7,0.52089107768702,1227.90385134221,-0.14606397152054,-0.355648440901057,-0.0013780434135178
353.15,1257,0.520794092695193,1255.25055821885,-0.139175957132018,-0.342711834570332,-0.00236965206856791
358.15,1283.8,0.520692003230111,1282.31769641572,-0.11546218914753,-0.330528270001339,-0.00319321174151803
363.15,1310.4,0.520595018238283,1309.1588196701,-0.0947176686428742,-0.319016600323814,-0.00387254875064639
368.15,1336.8,0.520498033246455,1335.80172408429,-0.0746765346884265,-0.308097016372354,-0.0044281285237115
373.15,1363,0.520395943781373,1362.27637554834,-0.0530905687201224,-0.297690768153996,-0.00487754761711959
378.15,1389.1,0.520298958789546,1388.64827300392,-0.0325194007689392,-0.287720189464836,-0.00523595000412507
383.15,1415.1,0.520196869324464,1414.9423569952,-0.0111400611120062,-0.278108903327802,-0.00551637992933245
388.15,1441,0.520094779859382,1441.21896852173,0.0151955948462681,-0.268782123239807,-0.00573008152070409
393.15,1466.8,0.519997794867554,1467.54171095913,0.0505666047948643,-0.259666992344796,-0.00588675362396216
328.15,895.7,0.391456949383022,894.633060678458,-0.119117932515601,-0.416660307727171,0.00489888735968744
333.15,916,0.391385486757465,914.94121512848,-0.1155878680699,-0.399829277064889,0.0029067704352853
338.15,936.1,0.391314024131908,935.015368433116,-0.115867061946826,-0.384117305054709,0.00122503494330431
343.15,955.7,0.391237457033096,954.86378824202,-0.0874973064748214,-0.369421328661191,-0.000190615944372026
348.15,975,0.391165994407539,974.524271708412,-0.0487926452910403,-0.355648440901057,-0.0013780434135178
353.15,994.1,0.391094531781982,994.004352024055,-0.00962156482695478,-0.342711834570332,-0.00236965206856791
358.15,1013,0.39101796468317,1013.31142186084,0.0307425331530697,-0.330528270001339,-0.00319321174151803
363.15,1032,0.390946502057613,1032.48788934288,0.0472760991157898,-0.319016600323814,-0.00387254875064639
368.15,1050.8,0.390869934958802,1051.53295945468,0.0697525175754824,-0.308097016372354,-0.0044281285237115
373.15,1069.6,0.390798472333245,1070.49381577238,0.0835654237450791,-0.297690768153996,-0.00487754761711959
378.15,1088.4,0.390721905234433,1089.37205802663,0.0893107337953812,-0.287720189464836,-0.00523595000412507
383.15,1107.2,0.390645338135622,1108.20661800893,0.0909156438704505,-0.278108903327802,-0.00551637992933245
388.15,1125.9,0.390573875510065,1127.03889960539,0.101154596801706,-0.268782123239807,-0.00573008152070409
393.15,1144.4,0.390497308411253,1145.87275857278,0.128692640053867,-0.259666992344796,-0.00588675362396216
328.15,709.5,0.296437179758109,709.236464942299,-0.0371437713461921,-0.416660307727171,0.00489888735968744
333.15,723.9,0.296386135025568,723.888040002323,-0.00165216157997272,-0.399829277064889,0.0029067704352853
338.15,738.1,0.296329985819773,738.387649283046,0.0389715869186355,-0.384117305054709,0.00122503494330431
343.15,752.1,0.296273836613978,752.757220659201,0.0873847439438201,-0.369421328661191,-0.000190615944372026
348.15,766,0.296217687408183,767.007379102199,0.13151163214082,-0.355648440901057,-0.0013780434135178
353.15,780.2,0.296161538202388,781.148771919809,0.121606244528127,-0.342711834570332,-0.00236965206856791
358.15,794.1,0.296105388996593,795.192584323678,0.137587750116806,-0.330528270001339,-0.00319321174151803
363.15,807.8,0.296049239790798,809.150834285084,0.167223853068104,-0.319016600323814,-0.00387254875064639
368.15,821.6,0.295993090585003,823.036510143626,0.174843006770452,-0.308097016372354,-0.0044281285237115
373.15,835.5,0.295936941379208,836.863598457021,0.163207475406436,-0.297690768153996,-0.00487754761711959
378.15,849.3,0.295880792173413,850.647037439614,0.158605609279923,-0.287720189464836,-0.00523595000412507
383.15,863,0.295824642967618,864.402622121811,0.162528635204012,-0.278108903327802,-0.00551637992933245
388.15,876.7,0.295768493761823,878.146880378661,0.165037114025414,-0.268782123239807,-0.00573008152070409
393.15,890.5,0.295712344556028,891.896933694875,0.156870712507041,-0.259666992344796,-0.00588675362396216
323.15,544.2,0.22426503241851,544.024291836184,-0.0322874244424865,-0.434729837415257,0.00725328712056255
328.15,554.5,0.224224196632477,554.758166829381,0.0465584904204653,-0.416660307727171,0.00489888735968744
333.15,564.7,0.224183360846444,565.399770038372,0.123918901783679,-0.399829277064889,0.0029067704352853
338.15,575.1,0.224142525060411,575.957168990161,0.14904694664591,-0.384117305054709,0.00122503494330431
343.15,585.5,0.224101689274379,586.437218295032,0.160071442362354,-0.369421328661191,-0.000190615944372026
348.15,595.8,0.224060853488346,596.846274590219,0.175608356867835,-0.355648440901057,-0.0013780434135178
353.15,606.3,0.224020017702313,607.190671793897,0.146902819379296,-0.342711834570332,-0.00236965206856791
358.15,616.5,0.223974077443026,617.4640787817,0.156379364428221,-0.330528270001339,-0.00319321174151803
363.15,626.8,0.223933241656994,627.699181958892,0.143455960257211,-0.319016600323814,-0.00387254875064639
368.15,636.8,0.223892405870961,637.890893260132,0.171308614970481,-0.308097016372354,-0.0044281285237115
373.15,646.9,0.223846465611674,648.033642735128,0.175242345822774,-0.297690768153996,-0.00487754761711959
378.15,657.1,0.223805629825641,658.163275970887,0.161813418183928,-0.287720189464836,-0.00523595000412507
383.15,667.1,0.223759689566355,668.261257626109,0.174075494844698,-0.278108903327802,-0.00551637992933245
388.15,677.1,0.223718853780322,678.365334096906,0.186875512761242,-0.268782123239807,-0.00573008152070409
393.15,687.1,0.223672913521035,688.456684932996,0.197450870760574,-0.259666992344796,-0.00588675362396216
323.15,422,0.169412362830042,421.744753169124,-0.0604850310132408,-0.434729837415257,0.00725328712056255
328.15,429.7,0.169381735990518,429.582155617489,-0.0274248039355254,-0.416660307727171,0.00489888735968744
333.15,437.3,0.169351109150993,437.365018052107,0.0148680658830962,-0.399829277064889,0.0029067704352853
338.15,445,0.169320482311469,445.09810423865,0.0220458963258863,-0.384117305054709,0.00122503494330431
343.15,452.6,0.169289855471944,452.785464964564,0.0409776766601867,-0.369421328661191,-0.000190615944372026
348.15,460.1,0.169254124159166,460.417853920804,0.0690836602487029,-0.355648440901057,-0.0013780434135178
353.15,467.9,0.169223497319641,468.024729990606,0.0266574034207434,-0.342711834570332,-0.00236965206856791
358.15,475.5,0.169192870480117,475.597216317379,0.0204450720040274,-0.330528270001339,-0.00319321174151803
363.15,483,0.169162243640592,483.139422855091,0.0288660155467494,-0.319016600323814,-0.00387254875064639
368.15,490.4,0.169126512327813,490.641763144269,0.0492991729748694,-0.308097016372354,-0.0044281285237115
373.15,497.9,0.169095885488289,498.136681620884,0.0475359752729434,-0.297690768153996,-0.00487754761711959
378.15,505.4,0.169065258648764,505.615437318912,0.0426270911975114,-0.287720189464836,-0.00523595000412507
383.15,512.9,0.169029527335986,513.068573137677,0.0328666675134979,-0.278108903327802,-0.00551637992933245
388.15,520.5,0.168998900496461,520.530787519746,0.00591498938444063,-0.268782123239807,-0.00573008152070409
393.15,528.3,0.168968273656937,527.993275887402,-0.0580587000942386,-0.259666992344796,-0.00588675362396216
323.15,325.1,0.128020189212615,324.859280060906,-0.0740448905241266,-0.434729837415257,0.00725328712056255
328.15,330.8,0.127994666846344,330.617997113659,-0.0550190103810498,-0.416660307727171,0.00489888735968744
333.15,336.5,0.127974248953328,336.357009281191,-0.0424935271350247,-0.399829277064889,0.0029067704352853
338.15,342.3,0.127948726587057,342.053968054876,-0.0718761160162278,-0.384117305054709,0.00122503494330431
343.15,347.9,0.127928308694041,347.736880950766,-0.0468867632175131,-0.369421328661191,-0.000190615944372026
348.15,353.5,0.12790278632777,353.381813574264,-0.033433218029869,-0.355648440901057,-0.0013780434135178
353.15,359.3,0.1278772639615,359.003879722357,-0.0824158857899993,-0.342711834570332,-0.00236965206856791
358.15,364.9,0.12785174159523,364.605328379375,-0.080754075260461,-0.330528270001339,-0.00319321174151803
363.15,370.6,0.127831323702213,370.202695459205,-0.107205758444523,-0.319016600323814,-0.00387254875064639
368.15,376.2,0.127805801335943,375.770461423925,-0.114178249887105,-0.308097016372354,-0.0044281285237115
373.15,381.8,0.127780278969672,381.325256596624,-0.124343479145015,-0.297690768153996,-0.00487754761711959
378.15,387.5,0.127754756603402,386.869962214759,-0.162590396191351,-0.287720189464836,-0.00523595000412507
383.15,393.1,0.127734338710385,392.422708674646,-0.172294918685951,-0.278108903327802,-0.00551637992933245
388.15,398.7,0.127708816344115,397.956685045226,-0.186434651310274,-0.268782123239807,-0.00573008152070409
393.15,404.4,0.127683293977845,403.490013235859,-0.2250214550298,-0.259666992344796,-0.00588675362396216
323.15,249,0.0967961263173369,249.143139867257,0.0574858904647921,-0.434729837415257,0.00725328712056255
328.15,253.3,0.0967757084243206,253.402913866542,0.0406292406402001,-0.416660307727171,0.00489888735968744
333.15,257.6,0.0967603950045583,257.656476792191,0.0219242205712193,-0.399829277064889,0.0029067704352853
338.15,261.8,0.0967399771115419,261.879602616278,0.0304058885706465,-0.384117305054709,0.00122503494330431
343.15,266.1,0.0967246636917797,266.100004766426,1.79121608505596e-06,-0.369421328661191,-0.000190615944372026
348.15,270.4,0.0967042457987633,270.292152872922,-0.0398842925585381,-0.355648440901057,-0.0013780434135178
353.15,274.6,0.0966838279057469,274.470594478029,-0.0471250990426572,-0.342711834570332,-0.00236965206856791
358.15,278.9,0.0966685144859846,278.650860512336,-0.0893293250857025,-0.330528270001339,-0.00319321174151803
363.15,283.2,0.0966480965929683,282.806107503314,-0.139086333575412,-0.319016600323814,-0.00387254875064639
368.15,287.5,0.096632783173206,286.966490741352,-0.185568437790746,-0.308097016372354,-0.0044281285237115
373.15,291.7,0.0966123652801896,291.104422736461,-0.204174584689343,-0.297690768153996,-0.00487754761711959
393.15,308.8,0.0965357981813783,307.626409522074,-0.380048729898256,-0.259666992344796,-0.00588675362396216
378.15,295.9,0.0965919473871733,295.236021195695,-0.224392972052935,-0.287720189464836,-0.00523595000412507
383.15,300.2,0.096576633967411,299.378411855559,-0.273680261306194,-0.278108903327802,-0.00551637992933245
388.15,304.5,0.0965562160743946,303.502866917275,-0.3274657086124,-0.268782123239807,-0.00573008152070409
